,stateid,vaccinationratio,populationratio,ratioofratio
0,NL,0.7218690892321676,0.9309070715923209,0.7754469927888797
1,JK,0.7026601782112556,0.8885620138474146,0.790783498800251
2,MN,0.8053584568178556,0.9851395745544583,0.8175069580187041
3,DL,0.7225537077182588,0.8679572767250237,0.8324761219176575
4,LD,0.7951792259225688,0.9464722398333484,0.8401506060680463
5,UP,0.7707261620203628,0.9124365013149343,0.8446901903964285
6,AR,0.8027421254185002,0.9382318829211443,0.8555903290337964
7,PB,0.7801696917439975,0.8951060028491479,0.8715947488461648
8,WB,0.8476078360644724,0.9499682187369543,0.8922486240554692
9,JH,0.8500856147811424,0.9484654597389357,0.8962747204469921
10,MP,0.8354053033525447,0.9309320997228939,0.8973858604738367
11,AS,0.8741657025789471,0.9577582478885868,0.912720620789304
12,ML,0.9026916434431056,0.9887554362689632,0.9129574516923855
13,OR,0.8941857510108474,0.9787831833625807,0.913568772134906
14,MH,0.8496278787017365,0.9294031034360559,0.9141650975347663
15,GA,0.8929494596242573,0.9733000514110994,0.9174451992781166
16,GJ,0.8458087296910155,0.9192528974705998,0.9201045022738878
17,CH,0.753348839749552,0.8176636017793454,0.9213432493633863
18,TN,0.9368283359583379,0.9964325615920648,0.9401823786865281
19,HR,0.8293696634920417,0.8786188745921186,0.9439470144288217
20,SK,0.8414824311588268,0.8899216887980933,0.9455690784380282
21,BR,0.8725418674558615,0.9178884795222505,0.9505968175022838
22,PY,1.0042107324065381,1.037437694996498,0.9679720885888264
23,RJ,0.9069042250720236,0.9281720003520576,0.9770863856354565
24,TR,0.9397452012534637,0.9600747128644412,0.9788250733629644
25,UT,0.944038250139607,0.9631641958490575,0.9801425906487413
26,AN,0.8644949621898238,0.8759753735132177,0.98689413918413
27,MZ,0.9685071166682686,0.975740943819901,0.9925863240674181
28,KA,0.9994062459465319,0.9729380862777665,1.0272043617595714
29,KL,1.1159826401603647,1.0843078720382304,1.029211969163881
30,CT,1.0201086801926789,0.9906028998133313,1.0297856793927291
31,HP,1.0109347982659858,0.9715256702355313,1.0405641654542184
32,AP,1.1234483728779485,0.9928487357825875,1.131540316655003
