,stateid,vaccinateddose1ratio,vaccinateddose2ratio
0,LD,0.011588903714118446,0.04254377079826401
1,SK,0.012566932602664706,0.045329500943187585
2,GA,0.014289126523779092,0.05939222514810339
3,TR,0.014745710399416818,0.04332028605476815
4,HP,0.015807862408346734,0.06196100782980717
5,CH,0.0169626144267321,0.05924167290918066
6,AN,0.017331060176481443,0.05917184510941896
7,MZ,0.01735223322589726,0.07223013876247514
8,UT,0.02026297074994268,0.07081581401797704
9,DL,0.020385080428252655,0.06256122477510571
10,KL,0.020655976751377658,0.06360689305837876
11,GJ,0.021064587504703018,0.07186337303941268
12,AR,0.021150840042025106,0.08210311111733466
13,PY,0.02245198148987497,0.0997545848869949
14,JK,0.023078333112658184,0.10072437562430181
15,RJ,0.023643559556699494,0.09608473799025351
16,KA,0.024150291061889335,0.0971673401626535
17,HR,0.02503706365493579,0.10552912722541799
18,CT,0.025090696393957508,0.10625457807268408
19,MP,0.028171821709386875,0.15333322073342862
20,OR,0.03010931146904344,0.11577265859805798
21,MN,0.030177617069201114,0.15300825698754622
22,MH,0.03064443687832102,0.10856269273277011
23,NL,0.034516081450891654,0.14774403634805786
24,ML,0.03469452114542371,0.15962816598291749
25,PB,0.03485821067522416,0.1488256595292124
26,AS,0.035551658129261504,0.16141882150823963
27,WB,0.03802696313013479,0.11149008019372818
28,TN,0.03952314644359474,0.17311841824938948
29,JH,0.04025886727270059,0.188022241867038
30,BR,0.049647917057365876,0.26452576562113167
31,UP,0.049680847581819836,0.2540916681726518
32,AP,0.05028242474299129,0.16173052728512916
